E,M,C,X,temp,n_temp,N,steps,H,wall_time
-0.33646066496289806,0.00813124603679274,14.190038749984524,0.07698357849912796,0.2,400,320,4000,[0. 0. 0.],27255.965929746628
-0.34878600739635834,0.0007832031563017115,14.25365439352172,0.2361521591223863,0.22456140350877193,400,320,4000,[0. 0. 0.],27255.965929746628
-0.3623448178475671,-0.0014544664472964815,12.583460690957647,0.17836991948322248,0.24912280701754388,400,320,4000,[0. 0. 0.],27255.965929746628
-0.37460320472875824,0.009068154425155895,13.558671041688921,0.0897576357394437,0.2736842105263158,400,320,4000,[0. 0. 0.],27255.965929746628
-0.38626961926753084,0.0020113593449942635,13.157509532674151,0.10404544715439037,0.29824561403508776,400,320,4000,[0. 0. 0.],27255.965929746628
-0.39732690566633677,-0.005756081592936472,11.394946208249157,0.1677438927052316,0.32280701754385965,400,320,4000,[0. 0. 0.],27255.965929746628
-0.40901522698003123,0.01620895587319836,12.408037913599705,0.11943782538725209,0.3473684210526316,400,320,4000,[0. 0. 0.],27255.965929746628
-0.4200331276253983,-0.014616084279849,11.569509661766348,0.11811683425603163,0.37192982456140355,400,320,4000,[0. 0. 0.],27255.965929746628
-0.42994151934491737,0.0200068012635027,11.087160700320663,0.05666960472081929,0.39649122807017545,400,320,4000,[0. 0. 0.],27255.965929746628
-0.43941923953012696,0.00744857210177474,11.262603853305905,0.18016903680925567,0.4210526315789474,400,320,4000,[0. 0. 0.],27255.965929746628
-0.44903851725175675,0.00758646189048253,9.601240696651027,0.06790229413722636,0.44561403508771935,400,320,4000,[0. 0. 0.],27255.965929746628
-0.45773115458648883,0.009378188503021953,9.00896558243253,0.22291199603292094,0.4701754385964913,400,320,4000,[0. 0. 0.],27255.965929746628
-0.4663496826354529,0.007230324877602715,8.864590984454942,0.05292207602370342,0.4947368421052632,400,320,4000,[0. 0. 0.],27255.965929746628
-0.47428555060988425,-0.01391624264344085,8.334053606220598,0.4385407743029254,0.5192982456140351,400,320,4000,[0. 0. 0.],27255.965929746628
-0.4812862270540121,-0.038533337206691554,8.04930178806193,0.5152417328299349,0.5438596491228072,400,320,4000,[0. 0. 0.],27255.965929746628
-0.4869096953973951,-0.004694010280806507,6.651213065667256,0.29575340497824776,0.5684210526315789,400,320,4000,[0. 0. 0.],27255.965929746628
-0.49289123746500835,0.0019111893204363912,5.773386501664773,0.19429243437802235,0.5929824561403509,400,320,4000,[0. 0. 0.],27255.965929746628
-0.4974977600617333,0.012935292687135658,5.888956347413363,0.15600511743455403,0.617543859649123,400,320,4000,[0. 0. 0.],27255.965929746628
-0.5014849990923259,0.005924839200091257,5.219906364310391,0.1317212630047937,0.6421052631578947,400,320,4000,[0. 0. 0.],27255.965929746628
-0.5035390162458264,-0.0005970825217071737,4.019066085410485,0.14480974616571887,0.6666666666666667,400,320,4000,[0. 0. 0.],27255.965929746628
-0.5058729832018702,-0.003518676477085227,3.521177418621425,1.1883145633505077,0.6912280701754387,400,320,4000,[0. 0. 0.],27255.965929746628
-0.5064897800688107,-0.02411851141241373,3.338851116700386,0.6696384062698528,0.7157894736842105,400,320,4000,[0. 0. 0.],27255.965929746628
-0.5064101915826275,0.00781935563505091,2.0227641442148507,0.3385783120812928,0.7403508771929825,400,320,4000,[0. 0. 0.],27255.965929746628
-0.5048702054682365,-0.008617750134601974,1.527151530296555,0.29419030202165297,0.7649122807017545,400,320,4000,[0. 0. 0.],27255.965929746628
-0.5027710437833184,0.02142086005264309,1.1391462568499264,1.2328131779979505,0.7894736842105263,400,320,4000,[0. 0. 0.],27255.965929746628
-0.49935365512273694,0.03728622571196696,0.6662041725655959,0.3914209120886379,0.8140350877192983,400,320,4000,[0. 0. 0.],27255.965929746628
-0.4942742198122742,0.03196197573761391,0.5235955809667828,2.577421487570493,0.8385964912280703,400,320,4000,[0. 0. 0.],27255.965929746628
-0.4901084768700255,-0.01670389704734293,0.508460345278002,0.8535122134051651,0.8631578947368421,400,320,4000,[0. 0. 0.],27255.965929746628
-0.4834786770336873,0.040541504113478934,0.45718684055051045,0.9828947291348776,0.8877192982456141,400,320,4000,[0. 0. 0.],27255.965929746628
-0.4760078048404499,0.017907258816237524,0.4108686072984147,4.459954105513527,0.9122807017543861,400,320,4000,[0. 0. 0.],27255.965929746628
-0.4683684341793447,0.03955880708478044,0.24387702225920854,1.6299148540992139,0.9368421052631579,400,320,4000,[0. 0. 0.],27255.965929746628
-0.4583203006308965,0.07915041844870607,0.1790463636102923,3.6962959995069746,0.9614035087719299,400,320,4000,[0. 0. 0.],27255.965929746628
-0.4478580104470448,-0.03889086887719629,0.11770537458507564,6.491941433421226,0.9859649122807019,400,320,4000,[0. 0. 0.],27255.965929746628
-0.43636503176759384,0.00856532827921405,0.26016807228915867,16.801391482779668,1.0105263157894737,400,320,4000,[0. 0. 0.],27255.965929746628
-0.42159499298455716,0.024375123903841053,0.12392814014400799,8.650066874666948,1.0350877192982457,400,320,4000,[0. 0. 0.],27255.965929746628
-0.4065316501586677,-0.04156223245178227,0.10720996489779507,3.6304235479680447,1.0596491228070177,400,320,4000,[0. 0. 0.],27255.965929746628
-0.3901516352243409,-0.0022274630894390302,0.1333263366665357,19.185079955171954,1.0842105263157895,400,320,4000,[0. 0. 0.],27255.965929746628
-0.3744881524440636,0.026593852587373415,0.08784985733062076,8.65146431465315,1.1087719298245615,400,320,4000,[0. 0. 0.],27255.965929746628
-0.35788268624528896,-0.020712104788651074,0.12946409514792015,12.2554161223458,1.1333333333333335,400,320,4000,[0. 0. 0.],27255.965929746628
-0.34248414189747073,-0.008592533390445115,0.12393391985830202,23.79494081666903,1.1578947368421053,400,320,4000,[0. 0. 0.],27255.965929746628
-0.32896594242732435,0.0035753026258372204,0.13421523593442672,6.8682734954057985,1.1824561403508773,400,320,4000,[0. 0. 0.],27255.965929746628
-0.31560013319602315,-0.009084056181751449,0.15721774895560406,6.403820792054039,1.2070175438596493,400,320,4000,[0. 0. 0.],27255.965929746628
-0.30300803690769984,0.010390100595233074,0.09922281661434335,7.1174182612108865,1.231578947368421,400,320,4000,[0. 0. 0.],27255.965929746628
-0.29171222128604346,-0.0026998916398086326,0.12591006862240822,17.2110217356696,1.2561403508771931,400,320,4000,[0. 0. 0.],27255.965929746628
-0.28068146152919127,-0.003257555734856388,0.11042362392935137,3.4984225017328403,1.2807017543859651,400,320,4000,[0. 0. 0.],27255.965929746628
