E,M,C,X,temp,n_temp,N,steps,H,wall_time
-0.4284962832201185,0.8506321214831565,0.6574885332838676,0.3887647851274778,0.2,400,64,4000,[1. 1. 1.],524.5637085437775
-0.4412691352989359,0.8660330540539832,0.5967330866399125,0.5343626699492532,0.22456140350877193,400,64,4000,[1. 1. 1.],524.5637085437775
-0.456276093505851,0.9007779290407175,0.48756561649459657,0.45616502984461804,0.24912280701754388,400,64,4000,[1. 1. 1.],524.5637085437775
-0.4638853477499718,0.9210883417225083,0.583240597479965,0.5186860246379428,0.2736842105263158,400,64,4000,[1. 1. 1.],524.5637085437775
-0.4824568857170798,0.960476028608984,0.3197607291141917,0.38981348809123595,0.29824561403508776,400,64,4000,[1. 1. 1.],524.5637085437775
-0.4958499178097035,0.9714169827625652,0.43709392541234315,0.47534919006604626,0.32280701754385965,400,64,4000,[1. 1. 1.],524.5637085437775
-0.5017592884131797,0.9692431591879546,0.8191787725938022,0.8635015589039319,0.3473684210526316,400,64,4000,[1. 1. 1.],524.5637085437775
-0.520091492812704,1.0186576175134876,0.5504129309892974,0.6082563172230089,0.37192982456140355,400,64,4000,[1. 1. 1.],524.5637085437775
-0.5339922430033399,1.039588857255971,0.6906443268480938,0.8144765636213371,0.39649122807017545,400,64,4000,[1. 1. 1.],524.5637085437775
-0.5507468355243541,1.07966901969977,0.7976352524016832,0.8502343290197132,0.4210526315789474,400,64,4000,[1. 1. 1.],524.5637085437775
-0.5596235683795805,1.1004371334747562,0.6205342875436082,0.6652103273539633,0.44561403508771935,400,64,4000,[1. 1. 1.],524.5637085437775
-0.5742094947699857,1.1056576993400964,0.4731068678703921,0.7470982471265902,0.4701754385964913,400,64,4000,[1. 1. 1.],524.5637085437775
-0.5849107051596404,1.1205531675919915,0.4512178912373755,0.660989903654673,0.4947368421052632,400,64,4000,[1. 1. 1.],524.5637085437775
-0.5961213794714746,1.1507309589337822,0.5220565224653592,1.008579528380981,0.5192982456140351,400,64,4000,[1. 1. 1.],524.5637085437775
-0.6066735390381185,1.1634992727984554,0.5614912193557805,1.0559732300872058,0.5438596491228072,400,64,4000,[1. 1. 1.],524.5637085437775
-0.6194610556567153,1.187493093214715,0.4234938975853791,0.7049145817125093,0.5684210526315789,400,64,4000,[1. 1. 1.],524.5637085437775
-0.6347574628001432,1.2300840668093624,0.3858500176322078,0.6881392434772523,0.5929824561403509,400,64,4000,[1. 1. 1.],524.5637085437775
-0.6463552356700848,1.23644736649998,0.4304696982670334,0.8327315847494207,0.617543859649123,400,64,4000,[1. 1. 1.],524.5637085437775
-0.6573256983096144,1.2566036780629777,0.3785727741806288,0.9318330555427818,0.6421052631578947,400,64,4000,[1. 1. 1.],524.5637085437775
-0.6666314514657464,1.2659219143397327,0.48898117760751336,1.0754400409800835,0.6666666666666667,400,64,4000,[1. 1. 1.],524.5637085437775
-0.6751753857420371,1.2895794262678408,0.5716018550355445,1.1376049432015942,0.6912280701754387,400,64,4000,[1. 1. 1.],524.5637085437775
-0.6850693454027338,1.3047680630096947,0.48901072675652424,0.9137793041246395,0.7157894736842105,400,64,4000,[1. 1. 1.],524.5637085437775
-0.6952059965075276,1.3232203993549747,0.32347756310683884,0.8447558403782595,0.7403508771929825,400,64,4000,[1. 1. 1.],524.5637085437775
-0.7062920136340599,1.3384462881207861,0.374121576709276,0.7681741678651082,0.7649122807017545,400,64,4000,[1. 1. 1.],524.5637085437775
-0.7153423584281817,1.35726240563949,0.35532567354308814,0.8004916053168927,0.7894736842105263,400,64,4000,[1. 1. 1.],524.5637085437775
-0.7226992267208675,1.3707866853243396,0.360892987019273,0.7164046701287305,0.8140350877192983,400,64,4000,[1. 1. 1.],524.5637085437775
-0.7288944380874802,1.3789610954560905,0.38545854060774914,0.8411576818344506,0.8385964912280703,400,64,4000,[1. 1. 1.],524.5637085437775
-0.7387051678793769,1.3983723362892801,0.34128422288000254,0.9315583550384938,0.8631578947368421,400,64,4000,[1. 1. 1.],524.5637085437775
-0.7445310001403009,1.405886664790494,0.2969200249709256,0.9037703181137489,0.8877192982456141,400,64,4000,[1. 1. 1.],524.5637085437775
-0.7531874836051621,1.4216144151624561,0.23861387717952157,0.5671528146846447,0.9122807017543861,400,64,4000,[1. 1. 1.],524.5637085437775
-0.7574590389802015,1.4360334945444921,0.23683991931361745,0.7433937624907404,0.9368421052631579,400,64,4000,[1. 1. 1.],524.5637085437775
-0.763206539121826,1.4392304717477689,0.2247184010149319,0.7043448081276769,0.9614035087719299,400,64,4000,[1. 1. 1.],524.5637085437775
-0.7683118762096851,1.450431378364068,0.16998723927612092,0.5380595512867274,0.9859649122807019,400,64,4000,[1. 1. 1.],524.5637085437775
-0.7719375710845293,1.4625819802522881,0.15985412983796135,0.6274176987212361,1.0105263157894737,400,64,4000,[1. 1. 1.],524.5637085437775
-0.7774990832548282,1.4716158935639443,0.15458774997222866,0.47430613709135067,1.0350877192982457,400,64,4000,[1. 1. 1.],524.5637085437775
-0.7732159345728091,1.4699797112469088,0.09376835247838003,0.29291661451149786,1.0596491228070177,400,64,4000,[1. 1. 1.],524.5637085437775
-0.777401302332832,1.4725179492847607,0.05624436898850647,0.1631734257819172,1.0842105263157895,400,64,4000,[1. 1. 1.],524.5637085437775
-0.7808128225020768,1.4816331619037422,0.040143761632569434,0.16428624619599838,1.1087719298245615,400,64,4000,[1. 1. 1.],524.5637085437775
-0.7803717097031122,1.4824437652271398,0.02153649290230878,0.12630224034075901,1.1333333333333335,400,64,4000,[1. 1. 1.],524.5637085437775
-0.7776317999852678,1.4809072759065598,0.02858683658320301,0.09079807632050771,1.1578947368421053,400,64,4000,[1. 1. 1.],524.5637085437775
-0.7789163696742465,1.486301160823484,0.021598545845036832,0.036852059380256,1.1824561403508773,400,64,4000,[1. 1. 1.],524.5637085437775
-0.7708338708854356,1.4753499981647855,0.012068544151169609,0.03173761195739644,1.2070175438596493,400,64,4000,[1. 1. 1.],524.5637085437775
-0.7709904747863074,1.4727722647367856,0.01334327647919429,0.02837249860954799,1.231578947368421,400,64,4000,[1. 1. 1.],524.5637085437775
-0.7681735273659341,1.4723105398750835,0.021035298468264782,0.060819854367901674,1.2561403508771931,400,64,4000,[1. 1. 1.],524.5637085437775
-0.7660844986626751,1.4704715871344847,0.024621845156086113,0.061065901280615,1.2807017543859651,400,64,4000,[1. 1. 1.],524.5637085437775
-0.7607326865747015,1.4661278008578884,0.039219398826273344,0.08632041992922818,1.305263157894737,400,64,4000,[1. 1. 1.],524.5637085437775
-0.7537432532788595,1.456554562952416,0.026941099898773635,0.07071795154044022,1.329824561403509,400,64,4000,[1. 1. 1.],524.5637085437775
-0.7475695270570635,1.4474064487428135,0.019727903683273897,0.04642564622275842,1.354385964912281,400,64,4000,[1. 1. 1.],524.5637085437775
-0.7451173398082671,1.4437659354225576,0.018978423905506133,0.054220827774242794,1.3789473684210527,400,64,4000,[1. 1. 1.],524.5637085437775
-0.7373229012581098,1.435776084325949,0.0447425355250052,0.08858170816906749,1.4035087719298247,400,64,4000,[1. 1. 1.],524.5637085437775
-0.7318437400484687,1.424543647520155,0.02624169305461248,0.0634380312433742,1.4280701754385967,400,64,4000,[1. 1. 1.],524.5637085437775
-0.7292333418658521,1.4218713306919093,0.0304068633785283,0.08596585143668957,1.4526315789473685,400,64,4000,[1. 1. 1.],524.5637085437775
-0.7197021998560454,1.4094043937229368,0.03436390615205719,0.09688143780230112,1.4771929824561405,400,64,4000,[1. 1. 1.],524.5637085437775
-0.7152912427002837,1.4031531644939215,0.041193979800548286,0.1100260549988064,1.5017543859649125,400,64,4000,[1. 1. 1.],524.5637085437775
-0.70979246910643,1.3946919510560727,0.03534996264095279,0.11272193538056383,1.5263157894736843,400,64,4000,[1. 1. 1.],524.5637085437775
-0.7019499602037619,1.384701337044629,0.04236149106398195,0.1356360804782513,1.5508771929824563,400,64,4000,[1. 1. 1.],524.5637085437775
-0.6982032278661869,1.3787634294802906,0.039052679477534914,0.12498897713991464,1.5754385964912283,400,64,4000,[1. 1. 1.],524.5637085437775
-0.6908705171673813,1.3679263679824663,0.04111412076284182,0.18134590917611604,1.6,400,64,4000,[1. 1. 1.],524.5637085437775
-0.683076921894726,1.3563067933695376,0.05685901832618028,0.18871384105418645,1.624561403508772,400,64,4000,[1. 1. 1.],524.5637085437775
-0.6774407031917385,1.3481842787767158,0.038827749221785716,0.14963736472425304,1.649122807017544,400,64,4000,[1. 1. 1.],524.5637085437775
-0.6708105500351531,1.3375745015506046,0.05816728573843331,0.20488534540506734,1.6736842105263159,400,64,4000,[1. 1. 1.],524.5637085437775
-0.6639142157248086,1.3305230459870716,0.042097116807911096,0.1574487513498057,1.698245614035088,400,64,4000,[1. 1. 1.],524.5637085437775
-0.6582643797149763,1.3223782176848697,0.05565241994830409,0.18332418244719328,1.72280701754386,400,64,4000,[1. 1. 1.],524.5637085437775
-0.651370511885111,1.311583707450869,0.04135588657347582,0.14301120468395223,1.7473684210526317,400,64,4000,[1. 1. 1.],524.5637085437775
-0.6431576572183055,1.2987731286508837,0.04281512728170609,0.16561726162410986,1.7719298245614037,400,64,4000,[1. 1. 1.],524.5637085437775
-0.6363542914349246,1.2883763561103698,0.05944264362493967,0.24284006876864156,1.7964912280701757,400,64,4000,[1. 1. 1.],524.5637085437775
-0.6286748514829852,1.276774240106396,0.05290895503955459,0.22361010197988235,1.8210526315789475,400,64,4000,[1. 1. 1.],524.5637085437775
-0.6216693006343221,1.2669267017567007,0.051971057055819676,0.21594685066153382,1.8456140350877195,400,64,4000,[1. 1. 1.],524.5637085437775
-0.6127465029038593,1.2540056619310482,0.04121396889597045,0.18901355714940737,1.8701754385964915,400,64,4000,[1. 1. 1.],524.5637085437775
-0.6068470964241155,1.244016158991784,0.050765232391349266,0.21383881274616418,1.8947368421052633,400,64,4000,[1. 1. 1.],524.5637085437775
-0.5988598590793361,1.2324439575990003,0.04931246805778214,0.24218295998608683,1.9192982456140353,400,64,4000,[1. 1. 1.],524.5637085437775
-0.5904584578240873,1.2195761637629559,0.06894870828719055,0.3147013430505414,1.9438596491228073,400,64,4000,[1. 1. 1.],524.5637085437775
-0.5827069905833019,1.2069149310484166,0.06647737116833734,0.31401481656996133,1.968421052631579,400,64,4000,[1. 1. 1.],524.5637085437775
-0.5757084831043702,1.1972473357695352,0.07519459387018376,0.3343177579442524,1.992982456140351,400,64,4000,[1. 1. 1.],524.5637085437775
-0.5664122397975346,1.1817703795113481,0.06788776413562635,0.38070123867260985,2.0175438596491233,400,64,4000,[1. 1. 1.],524.5637085437775
-0.5604673822326949,1.1722399198425253,0.06385453341286156,0.3387574314761249,2.042105263157895,400,64,4000,[1. 1. 1.],524.5637085437775
-0.5514379017315499,1.1578510040981904,0.06022568976853166,0.32116006086433174,2.066666666666667,400,64,4000,[1. 1. 1.],524.5637085437775
-0.5432784039204616,1.144592854901412,0.05271055191439555,0.2851659954205385,2.091228070175439,400,64,4000,[1. 1. 1.],524.5637085437775
-0.5367556480877527,1.1348238414871419,0.051368941429848866,0.30078512396914386,2.115789473684211,400,64,4000,[1. 1. 1.],524.5637085437775
-0.5266392513685875,1.118461717263178,0.051849052302679534,0.28341482772816184,2.140350877192983,400,64,4000,[1. 1. 1.],524.5637085437775
-0.5195842576921842,1.1065092936294099,0.06262729861807319,0.388722822250265,2.164912280701755,400,64,4000,[1. 1. 1.],524.5637085437775
-0.5136089597532709,1.0969591580561113,0.07000104615748677,0.4151594629351507,2.1894736842105265,400,64,4000,[1. 1. 1.],524.5637085437775
-0.5034814552544189,1.0801267858391783,0.06240081809004778,0.4146592322456452,2.214035087719299,400,64,4000,[1. 1. 1.],524.5637085437775
-0.49422376822637143,1.064551221995961,0.07015660466655893,0.4508387185968241,2.2385964912280705,400,64,4000,[1. 1. 1.],524.5637085437775
-0.4877249750003019,1.053570601766017,0.06029363183598845,0.38195379900905607,2.2631578947368425,400,64,4000,[1. 1. 1.],524.5637085437775
-0.47964553951969585,1.0401884966911357,0.05770445129285788,0.4069082658985109,2.2877192982456145,400,64,4000,[1. 1. 1.],524.5637085437775
-0.47161381165327065,1.0262103539671543,0.0717242331948136,0.5013665695332056,2.3122807017543865,400,64,4000,[1. 1. 1.],524.5637085437775
-0.4644810680159428,1.0134536556514495,0.06185777362632536,0.4488054020207281,2.3368421052631585,400,64,4000,[1. 1. 1.],524.5637085437775
-0.4551124952157243,0.9974873861941636,0.06144988521916244,0.4649243548540437,2.3614035087719305,400,64,4000,[1. 1. 1.],524.5637085437775
-0.4479369456770338,0.9847585442248789,0.05181280388267838,0.40328158111446005,2.385964912280702,400,64,4000,[1. 1. 1.],524.5637085437775
-0.44187206585917804,0.975400060412971,0.061022156666534905,0.4607652921977383,2.410526315789474,400,64,4000,[1. 1. 1.],524.5637085437775
-0.43397212570014404,0.9608596347519585,0.05824649089040456,0.4522560682270292,2.435087719298246,400,64,4000,[1. 1. 1.],524.5637085437775
-0.4254520543727262,0.9456366964644026,0.04880966369517526,0.39153760796818565,2.459649122807018,400,64,4000,[1. 1. 1.],524.5637085437775
-0.41958144236708717,0.9352576570128022,0.05317261308625712,0.43228402443745273,2.48421052631579,400,64,4000,[1. 1. 1.],524.5637085437775
-0.41272932886457875,0.9232910684992163,0.06169824111660586,0.5121133532932082,2.508771929824562,400,64,4000,[1. 1. 1.],524.5637085437775
-0.4059563237299636,0.910104686752832,0.05473750247798794,0.46625535056256534,2.5333333333333337,400,64,4000,[1. 1. 1.],524.5637085437775
-0.39888824620235463,0.8977381527389945,0.05863307201926818,0.5339783501735949,2.5578947368421057,400,64,4000,[1. 1. 1.],524.5637085437775
-0.3929470238994091,0.8875878723369871,0.05915925785097212,0.5227084333478313,2.5824561403508777,400,64,4000,[1. 1. 1.],524.5637085437775
-0.3855059760094359,0.8737212747640131,0.05289719007532348,0.4496550576599937,2.6070175438596497,400,64,4000,[1. 1. 1.],524.5637085437775
-0.3797106833317892,0.8619148540346393,0.04698010996182245,0.44201698205371925,2.6315789473684217,400,64,4000,[1. 1. 1.],524.5637085437775
-0.37106018243177236,0.8463512171933497,0.04529707279768285,0.4352763327478908,2.6561403508771937,400,64,4000,[1. 1. 1.],524.5637085437775
-0.3656937347842447,0.8364191943960408,0.05169272816267356,0.5310371166170352,2.6807017543859653,400,64,4000,[1. 1. 1.],524.5637085437775
-0.3579868436871918,0.8213117884807607,0.04909777281842021,0.5028291013705438,2.7052631578947373,400,64,4000,[1. 1. 1.],524.5637085437775
-0.35371477089664954,0.8139595201321665,0.046851024997795615,0.4887618269213065,2.7298245614035093,400,64,4000,[1. 1. 1.],524.5637085437775
-0.3461699554934713,0.7990425403721234,0.048047267631129015,0.4935696351081283,2.7543859649122813,400,64,4000,[1. 1. 1.],524.5637085437775
-0.3416262187507214,0.7904132370515267,0.04814807671855569,0.5125380544391225,2.7789473684210533,400,64,4000,[1. 1. 1.],524.5637085437775
-0.33654786213556304,0.7801121294068109,0.049118482222230905,0.548171525735568,2.8035087719298253,400,64,4000,[1. 1. 1.],524.5637085437775
-0.33102217889268104,0.769222617769499,0.046372418491758105,0.5013205332091863,2.828070175438597,400,64,4000,[1. 1. 1.],524.5637085437775
-0.32507958212286503,0.7581584452807798,0.03922222455798208,0.4300579621268697,2.852631578947369,400,64,4000,[1. 1. 1.],524.5637085437775
-0.31994397644461137,0.746983609246802,0.04255946529891909,0.4966336986141657,2.877192982456141,400,64,4000,[1. 1. 1.],524.5637085437775
-0.31407272984283613,0.7366050042780615,0.04220608697575323,0.5119760364627869,2.901754385964913,400,64,4000,[1. 1. 1.],524.5637085437775
-0.3093048529844678,0.7257759341931135,0.03802671983360191,0.45465403287139183,2.926315789473685,400,64,4000,[1. 1. 1.],524.5637085437775
-0.30406752590179525,0.7157791366599073,0.04124652232750047,0.5112005261932984,2.950877192982457,400,64,4000,[1. 1. 1.],524.5637085437775
-0.3006864945220349,0.7096797676532984,0.04188968868820768,0.5186800856893811,2.9754385964912284,400,64,4000,[1. 1. 1.],524.5637085437775
-0.29544412160684025,0.6988569868564947,0.04013129815374187,0.5215804273481504,3.0000000000000004,400,64,4000,[1. 1. 1.],524.5637085437775
-0.29005180214190346,0.6878699363985735,0.038171823741684575,0.5224313883859885,3.0245614035087725,400,64,4000,[1. 1. 1.],524.5637085437775
-0.28591359419868667,0.6796150829057223,0.03713841526061408,0.5180374316958914,3.0491228070175445,400,64,4000,[1. 1. 1.],524.5637085437775
-0.28040662853541604,0.6676088028753866,0.039283648924882016,0.5579370810951042,3.0736842105263165,400,64,4000,[1. 1. 1.],524.5637085437775
-0.2770355683116789,0.6603392625843362,0.03805960079927604,0.5081635487940467,3.0982456140350885,400,64,4000,[1. 1. 1.],524.5637085437775
-0.2732487620890609,0.6531421725703078,0.032376154127870684,0.41190319816371096,3.12280701754386,400,64,4000,[1. 1. 1.],524.5637085437775
-0.2687497213249694,0.6445785686822352,0.0341605154432311,0.48565260451823244,3.147368421052632,400,64,4000,[1. 1. 1.],524.5637085437775
-0.26597374066172524,0.6376938724919201,0.03612197162679579,0.5317614916822283,3.171929824561404,400,64,4000,[1. 1. 1.],524.5637085437775
-0.26038798065495183,0.6258672144017817,0.03479147586184493,0.51928806000387,3.196491228070176,400,64,4000,[1. 1. 1.],524.5637085437775
-0.25763525879971094,0.6203686955536899,0.0343403271955994,0.5271283351486339,3.221052631578948,400,64,4000,[1. 1. 1.],524.5637085437775
-0.25349745308198857,0.6112145939466026,0.027152205805746444,0.42598932314857885,3.24561403508772,400,64,4000,[1. 1. 1.],524.5637085437775
-0.2496118165701054,0.603415696468331,0.03209356921195319,0.5199938481582073,3.2701754385964916,400,64,4000,[1. 1. 1.],524.5637085437775
-0.24767134105097707,0.5996164149005686,0.02718673820650778,0.4110472143459979,3.2947368421052636,400,64,4000,[1. 1. 1.],524.5637085437775
-0.2439851805475684,0.5917861527943353,0.026923326250491614,0.4363782386541776,3.3192982456140356,400,64,4000,[1. 1. 1.],524.5637085437775
-0.24032242666832207,0.5839034809976623,0.027512087459733322,0.45501815147743224,3.3438596491228076,400,64,4000,[1. 1. 1.],524.5637085437775
-0.23657470978844528,0.5756812033748852,0.029922142738886378,0.49316919876758536,3.3684210526315796,400,64,4000,[1. 1. 1.],524.5637085437775
-0.2331212022154125,0.568298847209241,0.027242476107447337,0.4682221468699631,3.3929824561403517,400,64,4000,[1. 1. 1.],524.5637085437775
-0.23147863484024678,0.5643548764248117,0.02766391875942899,0.4562584192787036,3.4175438596491237,400,64,4000,[1. 1. 1.],524.5637085437775
-0.22767774868741508,0.5564073289557337,0.026501352437798192,0.4855728790746719,3.4421052631578952,400,64,4000,[1. 1. 1.],524.5637085437775
-0.22404649607701183,0.548797850815718,0.02527752530272749,0.4677076699801738,3.4666666666666672,400,64,4000,[1. 1. 1.],524.5637085437775
-0.22257299477103637,0.5453525218039533,0.023353779454958593,0.41926460050939535,3.4912280701754392,400,64,4000,[1. 1. 1.],524.5637085437775
-0.21898830257186666,0.5366554413127615,0.026545069833062013,0.4864215669537388,3.5157894736842112,400,64,4000,[1. 1. 1.],524.5637085437775
-0.21599990696223975,0.5305975261709754,0.02492829322400367,0.4647181324264669,3.5403508771929832,400,64,4000,[1. 1. 1.],524.5637085437775
