E,M,C,X,temp,n_temp,N,steps,H,wall_time
-0.3352837258777184,-0.0008513142650074761,0.5004629752278333,0.05369451819346834,0.2,400,64,4000,[0. 0. 0.],642.4629192352295
-0.34889093218839823,-0.014082608379684902,0.5431874089865989,0.22309754275416993,0.22456140350877193,400,64,4000,[0. 0. 0.],642.4629192352295
-0.36507269163475065,0.04176539226170686,0.7420261252884364,0.1471048630784574,0.24912280701754388,400,64,4000,[0. 0. 0.],642.4629192352295
-0.3767684690805475,0.06239411148583649,0.46046475784790586,0.10968181493279981,0.2736842105263158,400,64,4000,[0. 0. 0.],642.4629192352295
-0.39053497986864616,0.05801682592306224,0.8097572926785945,0.03270441682620576,0.29824561403508776,400,64,4000,[0. 0. 0.],642.4629192352295
-0.3985928230925218,0.004827266172548128,0.34115773322435233,0.24851267404298447,0.32280701754385965,400,64,4000,[0. 0. 0.],642.4629192352295
-0.4080213434911193,0.08405057459368893,0.5087368881718344,0.19803016309864435,0.3473684210526316,400,64,4000,[0. 0. 0.],642.4629192352295
-0.42095022388211606,0.038800130424433324,0.35166579399479725,0.13145693599655453,0.37192982456140355,400,64,4000,[0. 0. 0.],642.4629192352295
-0.42795823949068756,0.097606185225991,0.5736604204121085,0.18729700902355892,0.39649122807017545,400,64,4000,[0. 0. 0.],642.4629192352295
-0.4408497935114434,0.11152917676139303,0.3901939565682735,0.4186998799776802,0.4210526315789474,400,64,4000,[0. 0. 0.],642.4629192352295
-0.4502820855784263,0.0972275216878579,0.41723809603423795,0.09442155066830786,0.44561403508771935,400,64,4000,[0. 0. 0.],642.4629192352295
-0.4581010628624672,0.10034986394804092,0.4335477811203252,0.06897348278559587,0.4701754385964913,400,64,4000,[0. 0. 0.],642.4629192352295
-0.4635908514961971,-0.022648893329427856,0.4028530380122151,0.04784257483235289,0.4947368421052632,400,64,4000,[0. 0. 0.],642.4629192352295
-0.4725953224591914,0.06945038575065735,0.337595412177618,0.26706578530606884,0.5192982456140351,400,64,4000,[0. 0. 0.],642.4629192352295
-0.4799445113959381,0.05197696608467606,0.2104775998705476,0.60497205533761,0.5438596491228072,400,64,4000,[0. 0. 0.],642.4629192352295
-0.4843669931167582,0.019872457697464152,0.2876175225358385,0.17297507518351324,0.5684210526315789,400,64,4000,[0. 0. 0.],642.4629192352295
-0.4943034516645677,0.030042792336144656,0.3114016570445073,0.31894928287912805,0.5929824561403509,400,64,4000,[0. 0. 0.],642.4629192352295
-0.49966923587894974,0.16686527202717036,0.18927305762425972,0.5273546356851616,0.617543859649123,400,64,4000,[0. 0. 0.],642.4629192352295
-0.5015742680073358,0.11805553020239519,0.19207991941537939,0.06781282859554623,0.6421052631578947,400,64,4000,[0. 0. 0.],642.4629192352295
-0.504007581413047,0.10935994480052394,0.14694516815637823,0.27702121943831054,0.6666666666666667,400,64,4000,[0. 0. 0.],642.4629192352295
-0.505764129235077,-0.04470406907679784,0.1611704147302723,0.12853073030965226,0.6912280701754387,400,64,4000,[0. 0. 0.],642.4629192352295
-0.5061664884937918,0.055810040099679194,0.15400337330538427,0.36950406653343504,0.7157894736842105,400,64,4000,[0. 0. 0.],642.4629192352295
-0.5052660663107005,0.08415872841542799,0.07781485108198553,0.16352504875915894,0.7403508771929825,400,64,4000,[0. 0. 0.],642.4629192352295
-0.501898961258787,0.06766899181117948,0.10722975592456786,0.4207007226045677,0.7649122807017545,400,64,4000,[0. 0. 0.],642.4629192352295
-0.5030527247579657,-0.16121712268521404,0.053816352414325794,1.3041927729323741,0.7894736842105263,400,64,4000,[0. 0. 0.],642.4629192352295
-0.4972477491007333,0.10419842580935985,0.07422202805892754,0.6980587928016039,0.8140350877192983,400,64,4000,[0. 0. 0.],642.4629192352295
-0.4927937981261842,0.02270295130432001,0.09449280731852824,0.5377152214676797,0.8385964912280703,400,64,4000,[0. 0. 0.],642.4629192352295
-0.49244809541769197,0.08381395009057047,0.04130542998752941,0.9110921413598773,0.8631578947368421,400,64,4000,[0. 0. 0.],642.4629192352295
-0.4816555012457797,0.008749465923575834,0.059282871871465616,2.733475686902104,0.8877192982456141,400,64,4000,[0. 0. 0.],642.4629192352295
-0.4743476907784002,0.1570572907245821,0.06862667013965958,8.13693643229675,0.9122807017543861,400,64,4000,[0. 0. 0.],642.4629192352295
-0.46926500096077395,0.007368265032834886,0.10923364890981063,3.6100946754261614,0.9368421052631579,400,64,4000,[0. 0. 0.],642.4629192352295
-0.4583150281800225,-0.1614586283337781,0.04228426717787179,1.6687308976984432,0.9614035087719299,400,64,4000,[0. 0. 0.],642.4629192352295
-0.45042302123970274,-0.2474124919267057,0.0780673102802046,2.6481092490556994,0.9859649122807019,400,64,4000,[0. 0. 0.],642.4629192352295
-0.43562618784941004,0.1137955971407505,0.14308416301930246,4.655590288342316,1.0105263157894737,400,64,4000,[0. 0. 0.],642.4629192352295
-0.42230414151107193,0.17077369135087891,0.12793628094527298,11.019393240415255,1.0350877192982457,400,64,4000,[0. 0. 0.],642.4629192352295
-0.40781780443291427,0.13085909565851322,0.10558271150572165,10.003241279941617,1.0596491228070177,400,64,4000,[0. 0. 0.],642.4629192352295
-0.3904842407049054,0.21228822279931406,0.13187675924087403,26.909581215950418,1.0842105263157895,400,64,4000,[0. 0. 0.],642.4629192352295
-0.37562103804572666,-0.009192929492486675,0.09977662759517973,12.71031925007342,1.1087719298245615,400,64,4000,[0. 0. 0.],642.4629192352295
-0.3559540034496903,0.09968399629759088,0.11435807989528253,23.939375447489766,1.1333333333333335,400,64,4000,[0. 0. 0.],642.4629192352295
-0.3414949505283332,0.03616767907571509,0.13482002967773432,7.987795116914056,1.1578947368421053,400,64,4000,[0. 0. 0.],642.4629192352295
-0.3287196313064009,0.010924807659489038,0.1296841091986333,16.386975729279413,1.1824561403508773,400,64,4000,[0. 0. 0.],642.4629192352295
-0.31577306954990864,0.03796149774877918,0.135074968503508,16.539946865078317,1.2070175438596493,400,64,4000,[0. 0. 0.],642.4629192352295
-0.3046946221605685,0.05812840697457033,0.14529707624021618,10.142515446487598,1.231578947368421,400,64,4000,[0. 0. 0.],642.4629192352295
-0.2914007504332837,0.005385756069597299,0.08809875492314255,13.998161152335467,1.2561403508771931,400,64,4000,[0. 0. 0.],642.4629192352295
