E,M,C,X,temp,n_temp,N,steps,H,wall_time
-0.37458836314240723,0.5913008536496646,0.026714737379940345,0.017162514893556136,0.2,400,16,4000,[0.   0.5  0.86],60.55670356750488
-0.3862471298156548,0.5099571342795629,0.17194536602612884,0.12256804396442944,0.22456140350877193,400,16,4000,[0.   0.5  0.86],60.55670356750488
-0.4069146357970787,0.4823347064534156,0.020766653008199614,0.008879500395316896,0.24912280701754388,400,16,4000,[0.   0.5  0.86],60.55670356750488
-0.42148390183987994,0.6823003465430704,0.011462327832836766,0.013406499915022279,0.2736842105263158,400,16,4000,[0.   0.5  0.86],60.55670356750488
-0.44159380266999276,0.7773680672997609,0.00853607768212089,0.007856449185415131,0.29824561403508776,400,16,4000,[0.   0.5  0.86],60.55670356750488
-0.46541695640714015,0.7165063223234219,0.0063845805276169084,0.028475795281062047,0.32280701754385965,400,16,4000,[0.   0.5  0.86],60.55670356750488
-0.4456661500983164,0.6911103970872666,0.04956800749952118,0.04333921740133055,0.3473684210526316,400,16,4000,[0.   0.5  0.86],60.55670356750488
-0.4708319776341696,0.69393039753213,0.014215270199342432,0.07678438183772597,0.37192982456140355,400,16,4000,[0.   0.5  0.86],60.55670356750488
-0.5090761001120532,0.8618118744250236,0.013588891971275245,0.007445274848065669,0.39649122807017545,400,16,4000,[0.   0.5  0.86],60.55670356750488
-0.4921973106230489,0.931200523161938,0.09472994226786302,0.29375948516000605,0.4210526315789474,400,16,4000,[0.   0.5  0.86],60.55670356750488
-0.515154442007688,0.9241413288413759,0.030278957463957104,0.06621511982172515,0.44561403508771935,400,16,4000,[0.   0.5  0.86],60.55670356750488
-0.5281876678629979,0.8876903025335978,0.015146272433081656,0.048033911745807366,0.4701754385964913,400,16,4000,[0.   0.5  0.86],60.55670356750488
-0.5222769379393418,0.8895428725613532,0.03274067572998038,0.05296338753810643,0.4947368421052632,400,16,4000,[0.   0.5  0.86],60.55670356750488
-0.5541806941977646,0.8410516669538902,0.08585664254441325,0.10194766273735652,0.5192982456140351,400,16,4000,[0.   0.5  0.86],60.55670356750488
-0.5709460444276435,0.9947400290884328,0.0649980951995471,0.411194461953162,0.5438596491228072,400,16,4000,[0.   0.5  0.86],60.55670356750488
-0.5796013099238616,0.7947299074103142,0.024407625893623074,0.04811554299784333,0.5684210526315789,400,16,4000,[0.   0.5  0.86],60.55670356750488
-0.5744053149084941,0.7680994072560188,0.02553861361202334,0.16225394204493865,0.5929824561403509,400,16,4000,[0.   0.5  0.86],60.55670356750488
-0.6137765123281639,1.0712478233151217,0.021988942054466703,0.12518470671223073,0.617543859649123,400,16,4000,[0.   0.5  0.86],60.55670356750488
-0.5909981467965221,0.875950245003226,0.10185459300952607,0.04798497821795655,0.6421052631578947,400,16,4000,[0.   0.5  0.86],60.55670356750488
-0.5956291779872215,1.0483094635362498,0.05929247809491399,0.210180569309756,0.6666666666666667,400,16,4000,[0.   0.5  0.86],60.55670356750488
-0.6252144131939531,1.0801500406858247,0.07403789595682725,0.10885166463605761,0.6912280701754387,400,16,4000,[0.   0.5  0.86],60.55670356750488
-0.6310915044708366,1.0696190546796778,0.03875354856457625,0.05696857961323791,0.7157894736842105,400,16,4000,[0.   0.5  0.86],60.55670356750488
-0.6445105270947207,0.9450680450942646,0.03992722657975977,0.17418541381916583,0.7403508771929825,400,16,4000,[0.   0.5  0.86],60.55670356750488
-0.6399579146704893,1.1113780693081843,0.016375114020736072,0.057736928332076845,0.7649122807017545,400,16,4000,[0.   0.5  0.86],60.55670356750488
-0.6605124224168692,1.1683920795335243,0.0143075043897343,0.10897940701302862,0.7894736842105263,400,16,4000,[0.   0.5  0.86],60.55670356750488
-0.6548960314540591,1.0924642502078934,0.018064597456407743,0.09174449270229332,0.8140350877192983,400,16,4000,[0.   0.5  0.86],60.55670356750488
-0.6675121941083492,1.0509034311751402,0.019807351483717525,0.060189081928051474,0.8385964912280703,400,16,4000,[0.   0.5  0.86],60.55670356750488
-0.6648351006671622,1.0395167678136357,0.032925927745794836,0.06267865843722535,0.8631578947368421,400,16,4000,[0.   0.5  0.86],60.55670356750488
-0.6755470059064382,1.1603020766765735,0.00805178383204945,0.0630315201006142,0.8877192982456141,400,16,4000,[0.   0.5  0.86],60.55670356750488
-0.6668960877512797,1.1433135394793963,0.02242307015356958,0.059941323688736226,0.9122807017543861,400,16,4000,[0.   0.5  0.86],60.55670356750488
-0.6707335375711235,1.113124303633546,0.018031411109522257,0.04084271992546861,0.9368421052631579,400,16,4000,[0.   0.5  0.86],60.55670356750488
-0.6926949672877315,1.2790641090299861,0.040138998842048204,0.050392335437359305,0.9614035087719299,400,16,4000,[0.   0.5  0.86],60.55670356750488
-0.6719557517189764,1.162790469507786,0.03261568812692333,0.03983651280691345,0.9859649122807019,400,16,4000,[0.   0.5  0.86],60.55670356750488
-0.6647779294053529,1.1022762606623335,0.020004277306473663,0.20236673812863573,1.0105263157894737,400,16,4000,[0.   0.5  0.86],60.55670356750488
-0.6708219202389121,1.1335308784635385,0.020453575955806883,0.13475948418767328,1.0350877192982457,400,16,4000,[0.   0.5  0.86],60.55670356750488
