E,M,C,X,temp,n_temp,N,steps,H,wall_time
-0.3831996040192352,0.4440199690749075,1.5173730339029134,0.43010235814790576,0.2,400,112,4000,[1. 0. 0.],2307.0047204494476
-0.3966855377622044,0.4383409283963219,2.334036325330434,0.47863407630845956,0.22456140350877193,400,112,4000,[1. 0. 0.],2307.0047204494476
-0.41076762585602467,0.4774333735996052,1.5844976153406596,0.33884767017487083,0.24912280701754388,400,112,4000,[1. 0. 0.],2307.0047204494476
-0.42444966072675455,0.4905549493065248,1.825313639772916,1.4689377959130594,0.2736842105263158,400,112,4000,[1. 0. 0.],2307.0047204494476
-0.43792901289568636,0.5013455540888747,1.3054785707113041,1.1068384900994555,0.29824561403508776,400,112,4000,[1. 0. 0.],2307.0047204494476
-0.4492683975526549,0.5114579196824387,1.8204211199784448,0.930111961456557,0.32280701754385965,400,112,4000,[1. 0. 0.],2307.0047204494476
-0.46489029762188494,0.5344116774488108,1.4630805186478681,0.8393160538410924,0.3473684210526316,400,112,4000,[1. 0. 0.],2307.0047204494476
-0.4769177493453879,0.5481958753907926,1.528619962807913,1.277432723524129,0.37192982456140355,400,112,4000,[1. 0. 0.],2307.0047204494476
-0.48865897193083807,0.5541336512299685,1.5077319580971762,0.9204587634118087,0.39649122807017545,400,112,4000,[1. 0. 0.],2307.0047204494476
-0.5024457039553558,0.5790900593772939,1.5907210308139952,1.2812500397262738,0.4210526315789474,400,112,4000,[1. 0. 0.],2307.0047204494476
-0.5141660425548668,0.6103381859573369,1.6951034087708625,1.6714135997658663,0.44561403508771935,400,112,4000,[1. 0. 0.],2307.0047204494476
-0.5274069907073126,0.6283452748702603,1.816115048718615,0.9226267246448336,0.4701754385964913,400,112,4000,[1. 0. 0.],2307.0047204494476
-0.5408410795729127,0.6368444969217975,1.8414033387163669,0.7938250361964123,0.4947368421052632,400,112,4000,[1. 0. 0.],2307.0047204494476
-0.5534352530251125,0.6549088472845056,1.6379026294425045,1.2468781618770515,0.5192982456140351,400,112,4000,[1. 0. 0.],2307.0047204494476
-0.5639251147701645,0.6525265442094919,1.2921302940645407,0.7117707622239848,0.5438596491228072,400,112,4000,[1. 0. 0.],2307.0047204494476
-0.5768721432344717,0.692209549341929,1.3868649742311099,0.7492375134615435,0.5684210526315789,400,112,4000,[1. 0. 0.],2307.0047204494476
