E,M,C,X,temp,n_temp,N,steps,H,wall_time
-0.4258244969804819,0.8405412494029143,5.252726030971644,3.97349751814545,0.2,400,208,4000,[1. 1. 1.],19504.910801887512
-0.4371927854780732,0.8640321943904781,5.656667799792348,4.5845720999477635,0.22456140350877193,400,208,4000,[1. 1. 1.],19504.910801887512
-0.4522647328273475,0.8895159624192674,5.731049701119542,4.647447804152403,0.24912280701754388,400,208,4000,[1. 1. 1.],19504.910801887512
-0.4661524749796935,0.9184803579878081,5.789068264756862,5.491750062067765,0.2736842105263158,400,208,4000,[1. 1. 1.],19504.910801887512
-0.4786096834311344,0.936629720155403,6.173245348121019,6.09269239740602,0.29824561403508776,400,208,4000,[1. 1. 1.],19504.910801887512
-0.49294978359535013,0.9589962419524033,6.298943096942302,6.022499101415593,0.32280701754385965,400,208,4000,[1. 1. 1.],19504.910801887512
-0.508455540393947,0.9945060038980423,5.810737383595238,5.935627425884983,0.3473684210526316,400,208,4000,[1. 1. 1.],19504.910801887512
-0.5201168275436066,1.0110481680323908,5.616229486368491,5.998722855085086,0.37192982456140355,400,208,4000,[1. 1. 1.],19504.910801887512
-0.5326732085708171,1.0402470217973483,5.172899238835874,6.219730510587139,0.39649122807017545,400,208,4000,[1. 1. 1.],19504.910801887512
-0.545902478810438,1.0547838119178403,5.8365010333155,7.252366132207499,0.4210526315789474,400,208,4000,[1. 1. 1.],19504.910801887512
-0.5582131986750849,1.077680400020751,5.698724599969908,7.244635409609709,0.44561403508771935,400,208,4000,[1. 1. 1.],19504.910801887512
-0.5703270019456893,1.0973538490683212,5.6811645116931535,8.044636598203137,0.4701754385964913,400,208,4000,[1. 1. 1.],19504.910801887512
-0.5837936659369516,1.1217549467125798,5.4591733707835095,7.824553017839051,0.4947368421052632,400,208,4000,[1. 1. 1.],19504.910801887512
-0.5965272114552922,1.145260433469748,4.9111798705995104,7.2963881751953465,0.5192982456140351,400,208,4000,[1. 1. 1.],19504.910801887512
-0.6090508372676753,1.1696518148974182,5.634413058224747,8.96283061212471,0.5438596491228072,400,208,4000,[1. 1. 1.],19504.910801887512
