E,M,C,X,temp,n_temp,N,steps,H,wall_time
-0.34722542541623375,0.4283611682631797,0.01849724665061725,0.023486953896840745,0.2,400,8,4000,[0.   0.5  0.86],29.804278135299683
-0.37481798854333326,0.6333164667107852,0.035825939901971644,0.015247774308610462,0.22456140350877193,400,8,4000,[0.   0.5  0.86],29.804278135299683
-0.45027823655558696,0.7956445547345735,0.02917422802153573,0.03595723871608469,0.24912280701754388,400,8,4000,[0.   0.5  0.86],29.804278135299683
-0.4243828923809518,1.0654583028876432,0.0030587071143394987,0.00026861611490475596,0.2736842105263158,400,8,4000,[0.   0.5  0.86],29.804278135299683
-0.4235883345173328,0.4823102917403211,0.0019530909739405885,0.002465892860653064,0.29824561403508776,400,8,4000,[0.   0.5  0.86],29.804278135299683
-0.42698117804481633,0.5931559702757391,0.02923374720515865,0.005942459686636039,0.32280701754385965,400,8,4000,[0.   0.5  0.86],29.804278135299683
-0.5145808435464616,0.642593803049369,0.017343653540902646,0.1613920287262357,0.3473684210526316,400,8,4000,[0.   0.5  0.86],29.804278135299683
-0.45132725719954325,0.46572489330968797,0.007241318285054412,0.018279395780708745,0.37192982456140355,400,8,4000,[0.   0.5  0.86],29.804278135299683
-0.4538896903558077,0.9349080919353023,0.003131430684835819,0.03960571468298858,0.39649122807017545,400,8,4000,[0.   0.5  0.86],29.804278135299683
-0.49590021194446876,0.7007564874071049,0.023098877374910842,0.029451991248638176,0.4210526315789474,400,8,4000,[0.   0.5  0.86],29.804278135299683
-0.5198108244786263,0.814686805572662,0.00814900721354025,0.014738707663501638,0.44561403508771935,400,8,4000,[0.   0.5  0.86],29.804278135299683
-0.5715216530080798,0.9607254483166733,0.01143873699886957,0.07123044353765492,0.4701754385964913,400,8,4000,[0.   0.5  0.86],29.804278135299683
-0.5419092883725889,1.0843027877094702,0.0037889417279323647,0.0012579348039506466,0.4947368421052632,400,8,4000,[0.   0.5  0.86],29.804278135299683
-0.5636014434570277,1.0172370018905785,0.003855632576747402,0.020262979712013275,0.5192982456140351,400,8,4000,[0.   0.5  0.86],29.804278135299683
-0.5547711823428321,1.0843134054172385,0.038363984826093066,0.06942164313388975,0.5438596491228072,400,8,4000,[0.   0.5  0.86],29.804278135299683
-0.5806577388189591,0.7426537861319167,0.0069234674218218535,0.0038750737490144825,0.5684210526315789,400,8,4000,[0.   0.5  0.86],29.804278135299683
-0.5740684393627726,0.8621781323748959,0.028283980196280742,0.05626278369939759,0.5929824561403509,400,8,4000,[0.   0.5  0.86],29.804278135299683
-0.6053020887887854,0.8001393385214464,0.0005178341070992608,0.0013672035693040366,0.617543859649123,400,8,4000,[0.   0.5  0.86],29.804278135299683
-0.5787116655169616,0.8981351661103112,0.014244505669343004,0.018153149211314,0.6421052631578947,400,8,4000,[0.   0.5  0.86],29.804278135299683
-0.6006069554954142,1.2043957568101502,0.01585449580867326,0.049965337929045,0.6666666666666667,400,8,4000,[0.   0.5  0.86],29.804278135299683
-0.6389220755741248,1.1730022199376113,0.012935420429765795,0.0315541319474718,0.6912280701754387,400,8,4000,[0.   0.5  0.86],29.804278135299683
-0.6067866837584557,0.9769338508407676,0.04727276766047336,0.06495894250437552,0.7157894736842105,400,8,4000,[0.   0.5  0.86],29.804278135299683
-0.6465424630918303,1.1741728888475662,0.01806346926803515,0.1466607944036542,0.7403508771929825,400,8,4000,[0.   0.5  0.86],29.804278135299683
-0.6396588725781505,1.1349131521743439,0.018944926794158767,0.010082340160177132,0.7649122807017545,400,8,4000,[0.   0.5  0.86],29.804278135299683
-0.6606915390010728,1.2951815822282802,0.012334667259159427,0.08487945594010189,0.7894736842105263,400,8,4000,[0.   0.5  0.86],29.804278135299683
